Nomor,Kitab,Bab,indo
14,Iman,Mencintai Rasulullah bagian dari iman',"'Tidaklah beriman seorang dari kalian hingga aku lebih dicintainya daripada orang tuanya, anaknya dan dari manusia seluruhnya'."
16,Iman,Tanda-tanda keimanan adalah mencintai sahabat Anshar','Tanda iman adalah mencintai (kaum) Anshar dan tanda nifaq adalah membenci (kaum) Anshar'.
15,Iman,Manisnya iman',"'Tiga perkara yang apabila ada pada diri seseorang, ia akan mendapatkan manisnya iman: Dijadikannya Allah dan Rasul-Nya lebih dicintainya dari selain keduanya. Jika ia mencintai seseorang, dia tidak mencintainya kecuali karena Allah. Dan dia benci kembali kepada kekufuran seperti dia benci bila dile"
19,Iman,"Sabda Nabi ﷺ, Di antara kalian akulah yang paling mengerti ten'","'Rasulullah shallallahu 'alaihi wasallam bila memerintahkan kepada para sahabat, Beliau memerintahkan untuk melakukan amalan yang mampu mereka kerjakan, kemudian para sahabat berkata; 'Kami tidaklah seperti engkau, ya Rasulullah, karena engkau sudah diampuni dosa-dosa yang lalu dan yang akan datang'"
20,Iman,Dan siapa yang benci kembali kepada kekufuran seperti dia benci ',"'Tiga (perkara) yang apabila ada pada diri seseorang, ia akan mendapatkan manisnya iman: Allah dan Rasul-Nya lebih dicintainya dari selain keduanya. Dan siapa yang bila mencintai seseorang, dia tidak mencintai orang itu kecuali karena Allah 'azza wajalla. Dan siapa yang benci kembali kepada kekufura"
18,Iman,Bagian dari dien adalah menghindar dari fitnah',"'Hampir saja terjadi (suatu zaman) harta seorang muslim yang paling baik adalah kambing yang digembalakannya di puncak gunung dan tempat-tempat terpencil, dia pergi menghindar dengan membawa agamanya disebabkan takut terkena fitnah'."
21,Iman,Bertingkat-tingkatnya ahlul iman dalam amalan','Ahlu surga telah masuk ke surga dan Ahlu neraka telah masuk neraka. Lalu Allah Ta'ala berfirman: 'Keluarkan dari neraka siapa yang didalam hatinya ada iman sebesar biji sawi'. Maka mereka keluar dari neraka dalam kondisi yang telah menghitam gosong kemudian dimasukkan kedalam sungai hidup atau kehi
17,Iman,Tanda-tanda keimanan adalah mencintai sahabat Anshar',"'Berbai'atlah kalian kepadaku untuk tidak menyekutukan Allah dengan sesuatu apapun, tidak mencuri, tidak berzina, tidak membunuh anak-anak kalian, tidak membuat kebohongan yang kalian ada-adakan antara tangan dan kaki kalian, tidak bermaksiat dalam perkara yang ma'ruf. Barangsiapa diantara kalian ya"
24,Iman,"Maka jika mereka bertaubat, menegakkan shalat dan membayar zakat'","'Aku diperintahkan untuk memerangi manusia hingga mereka bersaksi; tidak ada ilah kecuali Allah dan bahwa sesungguhnya Muhammad adalah utusan Allah, menegakkan shalat, menunaikan zakat. Jika mereka lakukan yang demikian maka mereka telah memelihara darah dan harta mereka dariku kecuali dengan haq Is"
23,Iman,Malu bagian dari iman',"'Tinggalkanlah dia, karena sesungguhnya malu adalah bagian dari iman'."
22,Iman,Bertingkat-tingkatnya ahlul iman dalam amalan',"'Ketika aku tidur, aku bermimpi melihat orang-orang dihadapkan kepadaku. Mereka mengenakan baju, diantaranya ada yang sampai kepada buah dada dan ada yang kurang dari itu. Dan dihadapkan pula kepadaku Umar bin Al Khaththab dan dia mengenakan baju dan menyeretnya. Para sahabat bertanya: 'Apa maksudny"
27,Iman,Menyebarkan salam bagian dari Islam','Islam manakah yang paling baik?' Nabi shallallahu 'alaihi wasallam menjawab: 'Kamu memberi makan dan memberi salam kepada orang yang kamu kenal dan yang tidak kamu kenal'.
26,Iman,"Apabila masuk Islam bukan pada hakikatnya, tetapi karena bersera'","'Wahai Rasulullah, bagaimana dengan si fulan? Sungguh aku melihat dia sebagai seorang mu'min.' Nabi shallallahu 'alaihi wasallam membalas: 'atau dia muslim?' Kemudian aku terdiam sejenak, dan aku terdorong untuk lebih memastikan apa yang dimaksud Beliau shallallahu 'alaihi wasallam, maka aku ulangi "
25,Iman,Orang yang berpendapat bahwa iman adalah perbuatan.','Iman kepada Allah dan Rasul-Nya'. Lalu ditanya lagi: 'Lalu apa?' Beliau menjawab: 'Al Jihad fi sabilillah (berperang di jalan Allah). Lalu ditanya lagi: 'Kemudian apa lagi?' Jawab Beliau shallallahu 'alaihi wasallam: 'haji mabrur'.
28,Iman,Mengingkari pemberian dan istilah kekufuran di bawah kekufuran',"'Aku diperlihatkan neraka, ternyata kebanyakan penghuninya adalah wanita. Karena mereka sering mengingkari'. Ditanyakan: 'Apakah mereka mengingkari Allah?' Beliau bersabda: 'Mereka mengingkari pemberian suami, mengingkari kebaikan. Seandainya kamu berbuat baik terhadap seseorang dari mereka sepanjan"
29,Iman,"Perbuatan maksiat merupakan kebiasaan jahiliyah, namun pelakunya'","'Wahai Abu Dzar apakah kamu menghina ibunya? Sesungguhnya kamu masih memiliki (sifat) jahiliyyah. Saudara-saudara kalian adalah tanggungan kalian, Allah telah menjadikan mereka di bawah tangan kalian. Maka siapa yang saudaranya berada di bawah tangannya (tanggungannya) maka jika dia makan berilah ma"
30,Iman,Bila dua kelompoik orang beriman berperang maka damaikanlah …',"'Kamu mau kemana?' Aku jawab: 'hendak menolong seseorang' dia berkata: 'Kembalilah, karena aku pernah mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: 'Jika dua orang muslim saling bertemu (untuk berkelahi) dengan menghunus pedang masing-masing, maka yang terbunuh dan membunuh masuk nerak"
31,Iman,Kezaliman di bawah kezaliman','Orang-orang beriman dan tidak mencampur adukkan iman mereka dengan kezhaliman' para sahabat Rasulullah shallallahu 'alaihi wasallam bertanya: 'Siapakah diantara kami yang tidak berbuat zhalim? Maka Allah 'azza wajalla menurunkan (firman-Nya): 'Sesungguhnya kesyirikan adalah kezhaliman yang besar'. 
35,Iman,Jihad bagian dari iman',"'Allah menjamin orang yang keluar (berperang) di jalan-Nya, tidak ada yang mendorongnya keluar kecuali karena iman kepada-Ku dan membenarkan para rasul-Ku untuk mengembalikannya dengan memperoleh pahala atau ghonimah atau memasukkannya ke surga. Kalau seandainya tidak memberatkan umatku tentu aku ti"
38,Iman,Agama itu mudah',"'Sesungguhnya agama itu mudah, dan tidaklah seseorang mempersulit agama kecuali dia akan dikalahkan (semakin berat dan sulit). Maka berlakulah lurus kalian, mendekatlah (kepada yang benar) dan berilah kabar gembira dan minta tolonglah dengan Al Ghadwah (berangkat di awal pagi) dan ar-ruhah (berangka"
33,Iman,Tanda-tanda nifaq',"'Empat hal bila ada pada seseorang maka dia adalah seorang munafiq tulen, dan barangsiapa yang terdapat pada dirinya satu sifat dari empat hal tersebut maka pada dirinya terdapat sifat nifaq hingga dia meninggalkannya. Yaitu, jika diberi amanat dia khianat, jika berbicara dusta, jika berjanji mengin"
36,Iman,Menghidupkan ibadah-ibadah sunnah ramadhan bagian iman',"'Barangsiapa menegakkan Ramadlan karena iman dan mengharap pahala, maka diampuni dosa-dosanya yang telah lalu'."
32,Iman,Tanda-tanda nifaq',"'Tanda-tanda munafiq ada tiga; jika berbicara dusta, jika berjanji mengingkari dan jika diberi amanat dia khianat'."
34,Iman,Menghidupkan malam Lailatulqadar bagian iman',"'Barangsiapa menegakkan lailatul qodar karena iman dan mengharap pahala, maka diampuni dosa-dosanya yang telah lalu'."
39,Iman,Shalat bagian dari iman',"'Aku bersaksi kepada Allah bahwa aku ikut shalat bersama Rasulullah shallallahu 'alaihi wasallam menghadap Makkah, maka orang-orang yang sedang (ruku') tersebut berputar menghadap Baitullah dan orang-orang Yahudi dan Ahlul Kitab menjadi heran, sebab sebelumnya Nabi shallallahu 'alaihi wasallam shala"
37,Iman,Melaksanakan puasa ramadhan karena mencari ridho Allah bagian da',"'Barangsiapa yang berpuasa karena iman dan mengharap pahala, maka diampuni dosa-dosanya yang telah lalu'."
41,Iman,Pelaksaan agama yang paling Allah sukai adalah yang konsisten',"'siapa ini?' Aisyah menjawab: 'si fulanah', Lalu diceritakan tentang shalatnya. Maka Nabi shallallahu 'alaihi wasallam bersabda: 'tinggalkanlah apa yang tidak kalian sanggupi, demi Allah, Allah tidak akan bosan hingga kalian sendiri yang menjadi bosan, dan agama yang paling dicintai-Nya adalah apa y"
42,Iman,Bertambah dan berkurangnya iman','Akan dikeluarkan dari neraka siapa yang mengatakan tidak ada Ilah kecuali Allah dan dalam hatinya ada kebaikan sebesar jemawut. Dan akan dikeluarkan dari neraka siapa yang mengatakan tidak ada ilah kecuali Allah dan dalam hatinya ada kebaikan sebesar biji gandum. Dan akan dikeluarkan dari neraka si
40,Iman,Baiknya Islam seseorang',"'Apabila seorang dari kalian memperbaiki keIslamannya maka dari setiap kebaikan akan ditulis baginya sepuluh (kebaikan) yang serupa hingga tujuh ratus tingkatan, dan setiap satu kejelekan yang dikerjakan akan ditulis satu kejelekan saja yang serupa dengannya'."
47,Iman,Kekhawatiran seorang mukmin bila amalnya terhapus tanpa sadar',"'Aku datang untuk menjelaskan Lailatul Qodar kepada kalian, namun fulan dan fulan saling berdebat sehingga akhirnya diangkat (lailatul qodar), dan semoga menjadi lebih baik buat kalian, maka itu intailah (lailatul qodar) itu pada hari yang ketujuh, enam dan lima '."
48,Iman,"Pertanyaan malaikat Jibril kepada Nabi ﷺ tentang iman, Islam, '","'Apakah iman itu?' Nabi shallallahu 'alaihi wasallam menjawab: 'Iman adalah kamu beriman kepada Allah, malaikat-malaikat-Nya, kitab-kitab-Nya, pertemuan dengan-Nya, Rasul-Rasul-Nya, dan kamu beriman kepada hari berbangkit'. (Jibril 'Alaihis salam) berkata: 'Apakah Islam itu?' Jawab Nabi shallallahu "
44,Iman,Zakat bagian dari Islam','Shalat lima kali dalam sehari semalam'. Kata orang itu: 'apakah ada lagi selainnya buatku'. Nabi shallallahu 'alaihi wasallam menjawab: 'Tidak ada kecuali yang thathawu' (sunnat) '. Rasulullah shallallahu 'alaihi wasallam berkata: 'Dan puasa Ramadlan'. Orang itu bertanya lagi: 'Apakah ada lagi sela
45,Iman,Mengiringi jenazah bagian dari iman',"'Barangsiapa mengiringi jenazah muslim, karena iman dan mengharapkan balasan dan dia selalu bersama jenazah tersebut sampai dishalatkan dan selesai dari penguburannya, maka dia pulang dengan membawa dua qiroth, setiap qiroth setara dengan gunung Uhud. Dan barangsiapa menyolatkannya dan pulang sebelu"
43,Iman,Bertambah dan berkurangnya iman',"'Wahai Amirul Mu'minin, ada satu ayat dalam kitab kalian yang kalian baca, seandainya ayat itu diturunkan kepada kami Kaum Yahudi, tentulah kami jadikan (hari diturunkannya ayat itu) sebagai hari raya ('ied). Maka Umar bin Al Khaththab berkata: 'Ayat apakah itu?' (Orang Yahudi itu) berkata: 'Pada ha"
46,Iman,Kekhawatiran seorang mukmin bila amalnya terhapus tanpa sadar','mencerca orang muslim adalah fasiq dan memeranginya adalah kufur'.
51,Iman,Menunaikan pembagian seperlima bagian ghanimah merupakan bagian ',"'Tinggallah bersamaku hingga aku memberimu bagian dari hartaku'. Maka aku tinggal mendampingi dia selama dua bulan, lalu berkata: Ketika utusan Abu Qais datang menemui Nabi shallallahu 'alaihi wasallam, Beliau bertanya kepada mereka: 'Kaum manakah ini atau utusan siapakah ini? Mereka menjawab: 'Rabi"
49,Iman,"Pertanyaan malaikat Jibril kepada Nabi ﷺ tentang iman, Islam, '","'Aku sudah bertanya kepadamu, apakah jumlah mereka bertambah atau berkurang? Maka kamu bertutur bahwa mereka bertambah, dan memang begitulah iman akan terus berkembang hingga sempurna. Dan aku bertanya kepadamu, apakah ada orang yang murtad karena dongkol pada agamanya? Kemudian kamu bertutur; tidak"
52,Iman,"Sesungguhnya amal itu bergantung dengan niat dan pengharapan, da'","'Semua perbuatan tergantung niatnya, dan (balasan) bagi tiap-tiap orang (tergantung) apa yang diniatkan; barangsiapa niat hijrahnya karena Allah dan Rasul-Nya, maka hijrahnya adalah kepada Allah dan Rasul-Nya. Barangsiapa niat hijrahnya karena dunia yang ingin digapainya atau karena seorang perempua"
50,Iman,Keutamaan orang yang memelihara agamanya','Yang halal sudah jelas dan yang haram juga sudah jelas. Namun diantara keduanya ada perkara syubhat (samar) yang tidak diketahui oleh banyak orang. Maka barangsiapa yang menjauhi diri dari yang syubhat berarti telah memelihara agamanya dan kehormatannya. Dan barangsiapa yang sampai jatuh (mengerjak
54,Iman,"Sesungguhnya amal itu bergantung dengan niat dan pengharapan, da'","'Sesungguhnya, tidaklah kamu menafkahkan suatu nafkah yang dimaksudkan mengharap wajah Allah kecuali kamu akan diberi pahala termasuk sesuatu yang kamu suapkan ke mulut istrimu'."
53,Iman,"Sesungguhnya amal itu bergantung dengan niat dan pengharapan, da'",'Apabila seseorang memberi nafkah untuk keluarganya dengan niat mengharap pahala maka baginya Sedekah'.
59,Ilmu,"Ucapan ahli hadits, telah bercerita kepada kami, telah mengabark'","'Sesungguhnya diantara pohon ada suatu pohon yang tidak jatuh daunnya. Dan itu adalah perumpamaan bagi seorang muslim'. Nabi shallallahu 'alaihi wasallam bertanya: 'Katakanlah kepadaku, pohon apakah itu?' Maka para sahabat beranggapan bahwa yang dimaksud adalah pohon yang berada di lembah. Abdullah "
55,Iman,"Agama adalah nasihat (loyalitas) kepada Allah, rasul-Nya dan par'","'Aku telah membai'at Rasulullah untuk menegakkan shalat, menunaikan zakat dan menasehati kepada setiap muslim'."
56,Iman,"Agama adalah nasihat (loyalitas) kepada Allah, rasul-Nya dan par'","'Wajib atas kalian bertakwa kepada Allah satu-satunya dan tidak menyekutukannya, dan dengan penuh ketundukan dan ketenangan sampai datang pemimpin pengganti, dan sekarang datang penggantinya, ' kemudian dia berkata: 'Mintakanlah maaf kepada Allah Subhanahu wa Ta'ala buat pemimpin kalian ini (Al Mugh"
57,Ilmu,Siapa yang bertanya tentang ilmu sedang dia terus menyampaikan p',"'Kapan datangnya hari kiamat?' Namun Nabi shallallahu 'alaihi wasallam tetap melanjutkan pembicaraannya. Sementara itu sebagian kaum ada yang berkata; 'beliau mendengar perkataannya akan tetapi beliau tidak menyukai apa yang dikatakannya itu, ' dan ada pula sebagian yang mengatakan; 'bahwa beliau ti"
61,Ilmu,"Keterangan tentang ilmu, diantaranya firman Allah Ta\'ala: Dan k'","'Siapa diantara kalian yang bernama Muhammad?' Pada saat itu Nabi shallallahu 'alaihi wasallam bersandaran di tengah para sahabat, lalu kami menjawab: 'orang Ini, yang berkulit putih yang sedang bersandar'. Orang itu berkata kepada Beliau; 'Wahai putra Abdul Muththalib' Nabi shallallahu 'alaihi wasa"
58,Ilmu,Siapa yang mengeraskan suaranya dalam menyampaikan ilmu','celakalah bagi tumit-tumit yang tidak basah akan masuk neraka.' Beliau serukan hingga dua atau tiga kali.
62,Ilmu,Metode munawalah dan surat-surat para ahli ilmu ke berbagai nege',Rasulullah shallallahu 'alaihi wasallam berdoa agar mereka (kekuasaannya) dirobek-robek sehancur-hancurnya.
60,Ilmu,Pemimpin menyampaikan pertanyaan kepada kepada para sahabatnya u',"'Sesungguhnya diantara pohon ada satu pohon yang tidak jatuh daunnya. Dan itu adalah perumpamaan bagi seorang muslim'. Nabi shallallahu 'alaihi wasallam bertanya: 'Katakanlah padaku, pohon apakah itu?' Maka para sahabat beranggapan bahwa yang dimaksud adalah pohon yang berada di lembah. Abdullah ber"
63,Ilmu,Metode munawalah dan surat-surat para ahli ilmu ke berbagai nege','. Lalu aku bertanya kepada Qotadah: 'Siapa yang membuat tanda Muhammad Rasulullah?' Jawabnya: 'Anas'.
64,Ilmu,Siapa yang duduk di belakang dalam suatu majelis',"'Maukah kalian aku beritahu tentang ketiga orang tadi?' Adapun seorang diantara mereka, dia meminta perlindungan kepada Allah, maka Allah lindungi dia. Yang kedua, dia malu kepada Allah, maka Allah pun malu kepadanya. Sedangkan yang ketiga berpaling dari Allah maka Allah pun berpaling darinya'."
65,Ilmu,Sabda Nabi ﷺ: Berapa banyak orang yang hanya mendapat penyampa','Hari apakah ini? '. Kami semua terdiam dan menyangka bahwa Beliau akan menamakan nama lain selain nama hari yang sudah dikenal. Beliau shallallahu 'alaihi wasallam berkata: 'Bukankah hari ini hari Nahar?' Kami menjawab: 'Benar'. Nabi shallallahu 'alaihi wasallam kembali bertanya: 'Bulan apakah ini?
66,Ilmu,Nabi ﷺ selalu memberi waktu yang tepat ketika memberi nasihat',"Nabi Shallallahu 'alaihi wasallam selalu memilah-milah hari yang tepat bagi kami untuk memberikan nasehat, karena khawatir rasa bosan akan menghinggapi kami."
67,Ilmu,Nabi ﷺ selalu memberi waktu yang tepat ketika memberi nasihat',"'permudahlah dan jangan persulit, berilah kabar gembira dan jangan membuat orang lari.'"
73,Ilmu,Sabda Nabi ﷺ: Ya Allah ajarkanlah dia al-Kitab',"'Ya Allah, ajarkanlah dia Kitab'."
69,Ilmu,"Siapa yang dikehendaki baik oleh Allah, maka Allah pahamkan dia '","'Barangsiapa yang Allah kehendaki menjadi baik maka Allah faqihkan dia terhadap agama. Aku hanyalah yang membagi-bagikan sedang Allah yang memberi. Dan senantiasa ummat ini akan tegak diatas perintah Allah, mereka tidak akan celaka karena adanya orang-orang yang menyelisihi mereka hingga datang kepu"
68,Ilmu,Orang yang menyediakan hari-hari khusus untuk bermulazamah denga',"'Wahai Abu Abdurrahman, sungguh aku ingin kalau anda memberi pelajaran kepada kami setiap hari' dia berkata: 'Sungguh aku enggan melakukannya, karena aku takut membuat kalian bosan, dan aku ingin memberi pelajaran kepada kalian sebagaimana Nabi shallallahu 'alaihi wasallam memberi pelajaran kepada k"
70,Ilmu,Memahami ilmu','Sesungguhnya diantara pohon ada suatu pohon yang merupakan perumpamaan bagi seorang muslim'. Aku ingin mengatakan bahwa itu adalah pohon kurma namun karena aku yang termuda maka aku diam. Maka kemudian Nabi shallallahu 'alaihi wasallam bersabda: 'Itu adalah pohon kurma'.
76,Ilmu,Pergi menuntut ilmu',"'Aku dan temanku ini berdebat tentang sahabat Musa 'Alaihis salam, yang ditanya tentang jalan yang akhirnya mempertemukannya, apakah kamu pernah mendengar Nabi shallallahu 'alaihi wasallam menceritakan masalah ini?' Ubay bin Ka'ab menjawab: Ya, benar, aku pernah mendengar Rasulullah shallallahu 'ala"
71,Ilmu,Tekun dalam mencari ilmu dan hikmah','Tidak boleh mendengki kecuali terhadap dua hal; (terhadap) seorang yang Allah berikan harta lalu dia pergunakan harta tersebut di jalan kebenaran dan seseorang yang Allah berikan hikmah lalu dia mengamalkan dan mengajarkannya kepada orang lain'.
75,Ilmu,Kapan dibolehkan mendengarkan pendapat anak kecil',"'Aku mengingat dari Nabi, saat Beliau melumuri air ludah Beliau di wajahku, saat itu aku baru berumur lima tahun'."
77,Ilmu,Keutamaan orang yang berilmu dan mengajarkannya','Perumpamaan petunjuk dan ilmu yang Allah mengutusku dengan membawanya adalah seperti hujan yang lebat yang turun mengenai tanah. Diantara tanah itu ada jenis yang dapat menyerap air sehingga dapat menumbuhkan tumbuh-tumbuhan dan rerumputan yang banyak. Dan di antaranya ada tanah yang keras lalu men
74,Ilmu,Kapan dibolehkan mendengarkan pendapat anak kecil',"'ku datang dengan menunggang keledai betina, yang saat itu aku hampir menginjak masa baligh, dan Rasulullah sedang shalat di Mina dengan tidak menghadap dinding. Maka aku lewat di depan sebagian shaf kemudian aku melepas keledai betina itu supaya mencari makan sesukanya. Lalu aku masuk kembali di te"
79,Ilmu,Diangkatnya ilmu dan munculnya kebodohan',"'Sesungguhnya diantara tanda-tanda kiamat adalah sedikitnya ilmu dan merebaknya kebodohan, perzinahan secara terang-terangan, jumlah perempuan yang lebih banyak dan sedikitnya laki-laki, sampai-sampai (perbandingannya) lima puluh perempuan sama dengan hanya satu orang laki-laki."
72,Ilmu,Perginya Nabi Musa alaihissalam kelaut untuk menemui Khidhir',"'Aku dan temanku ini berdebat tentang sahabat Musa 'Alaihis salam, yang ditanya tentang jalan yang akhirnya mempertemukannya, apakah kamu pernah mendengar Nabi shallallahu 'alaihi wasallam menceritakan masalah ini?' Ubay bin Ka'ab menjawab: Ya, benar, aku pernah mendengar Rasulullah shallallahu 'ala"
78,Ilmu,Diangkatnya ilmu dan munculnya kebodohan','Sesungguhnya diantara tanda-tanda kiamat adalah diangkatnya ilmu dan merebaknya kebodohan dan diminumnya khamer serta praktek perzinahan secara terang-terangan'.
82,Ilmu,Menjawab fatwa dengan isyarat tangan atau anggukan kepala',"'Aku menyembelih hewan sebelum aku melempar jumrah'. Beliau memberi isyarat dengan tangannya, yang maksudnya 'tidak apa-apa'.'Dan aku mencukur sebelum menyembelih'. Beliau memberi isyarat dengan tangannya yang maksudnya 'tidak apa-apa'."
81,Ilmu,Memberikan fatwa ketika sedang menunggang kendaraan …',"'Aku tidak menyadari, ternyata saat aku mencukur rambut aku belum menyembelih.' Maka Nabi shallallahu 'alaihi wasallam bersabda: 'Sembelihlah, tidak apa-apa' Kemudian datang orang lain dan berkata: 'Aku tidak menyadari, ternyata ketika berkurban aku belum melempar (jumrah) '. Nabi shallallahu 'alaih"
83,Ilmu,Menjawab fatwa dengan isyarat tangan atau anggukan kepala',"'Ilmu akan diangkat dan akan tersebar kebodohan dan fitnah merajalela serta banyak timbul kekacauan'. Ditanyakan kepada Beliau shallallahu 'alaihi wasallam: 'Wahai Rasulullah, apa yang dimaksud dengan kekacauan?' Maka Rasul shallallahu 'alaihi wasallam menjawab: 'Begini'. Nabi shallallahu 'alaihi wa"
86,Ilmu,Bepergian untuk mencari jawaban tentang masalah yang terjadi','Aku pernah menyusui 'Uqbah dan wanita yang dinikahinya itu'. Maka 'Uqbah berkata kepada perempuan itu: 'Aku tidak tahu kalau kamu pernah menyusuiku dan kamu tidak memberitahu aku.' Maka 'Uqbah mengendarai kendaraannya menemui Rasul shallallahu 'alaihi wasallam di Madinah dan menyampaikan masalahnya
80,Ilmu,Keutamaan ilmu',"'Ketika aku tidur, aku bermimpi diberi segelas susu lalu aku meminumnya hingga aku melihat pemandangan yang bagus keluar dari kuku-kukuku, kemudian aku berikan sisanya kepada sahabat muliaku Umar bin Al Khaththab'. Orang-orang bertanya: 'Apa ta'wilnya wahai Rasulullah?' Beliau menjawab: 'Ilmu'."
84,Ilmu,Menjawab fatwa dengan isyarat tangan atau anggukan kepala',"'Apa yang sedang dilakukan orang-orang?' Aisyah memberi isyarat ke langit. Ternyata orang-orang sedang melaksanakan shalat (gerhana matahari). Maka Aisyah berkata: 'Maha suci Allah'. Aku tanyakan lagi: 'Satu tanda saja?' Lalu dia memberi isyarat dengan kepalanya, maksudnya mengangguk tanda mengiyaka"
85,Ilmu,Anjuran Nabi ﷺ kepada utusan \'Abdul Qais untuk menjaga iman','Utusan siapakah ini atau kaum manakah ini?' Utusan itu menjawab: 'Rabi'ah'. Lalu Nabi shallallahu 'alaihi wasallam berkata: 'Selamat datang kaum atau para utusan dengan sukarela dan tanpa menyesal'. Para utusan berkata: 'Wahai Rasulullah kami datang dari perjalanan yang jauh sementara diantara kamp
87,Ilmu,Bergantian dalam mencari ilmu',"'Apakah dia ada disana?' Maka aku kaget dan keluar menemuinya. Dia berkata: 'Telah terjadi persoalan yang gawat!'. Umar berkata: 'Aku pergi menemui Hafshah, dan ternyata dia sedang menangis, aku bertanya kepadanya: 'Apakah Rasul shallallahu 'alaihi wasallam menceraikanmu?' Hafshah menjawab: 'Aku tid"
88,Ilmu,Marah ketika memberi nasihat dan mengajar jika nelihat sesuatu y',"'Wahai Rasulullah, aku hampir tidak sanggup shalat yang dipimpin seseorang dengan bacaannya yang panjang.' Maka aku belum pernah melihat Nabi shallallahu 'alaihi wasallam memberi peringatan dengan lebih marah dari yang disampaikannya hari itu seraya bersabda: 'Wahai manusia, kalian membuat orang lar"
90,Ilmu,Marah ketika memberi nasihat dan mengajar jika nelihat sesuatu y',"'Bertanyalah kepadaku sesuka kalian'. Maka seseorang bertanya: 'Siapakah bapakku?' Beliau shallallahu 'alaihi wasallam menjawab: 'Bapakmu adalah Hudzafah'. Yang lain bertanya: 'Siapakah bapakku wahai Rasulullah shallallahu 'alaihi wasallam?: 'Bapakmu Salim, sahaya Syaibah' Ketika Umar melihat apa ya"
